Ａ,ｱﾙﾌｧ
Ｂ,ﾌﾞﾗﾎﾞｰ
Ｃ,ﾁｬｰﾘｰ
Ｄ,ﾃﾞﾙﾀ
Ｅ,ｴｺｰ
Ｆ,ﾌｫｯｸｽﾄﾛｯﾄ
Ｇ,ｺﾞﾙﾌ
Ｈ,ﾎﾃﾙ
Ｉ,ｲﾝﾃﾞｨｱ
Ｊ,ｼﾞｭﾘｴｯﾄ
Ｋ,ｷﾛ
Ｌ,ﾘﾏ
Ｍ,ﾏｲｸ
Ｎ,ﾉﾍﾞﾝﾊﾞｰ
Ｏ,ｵｽｶｰ
Ｐ,ﾊﾟﾊﾟ
Ｑ,ｹﾍﾞｯｸ
Ｒ,ﾛﾐｵ
Ｓ,ｼｱﾗ
Ｔ,ﾀﾝｺﾞ
Ｕ,ﾕﾆﾌｫｰﾑ
Ｖ,ﾋﾞｸﾀｰ
Ｗ,ｳｨｽｷｰ
Ｘ,ｴｯｸｽﾚｲ
Ｙ,ﾔﾝｷｰ
Ｚ,ｽﾞｰﾙ
ァ,ﾁｲｻｲ ｱ
ア,ｱｻﾋﾉ ｱ
ィ,ﾁｲｻｲ ｲ
イ,ｲﾛﾊﾉ ｲ
ゥ,ﾁｲｻｲ ｳ
ウ,ｳｴﾉﾉ ｳ
ェ,ﾁｲｻｲ ｴ
エ,ｴｲｺﾞﾉ ｴ
ォ,ﾁｲｻｲ ｵ
オ,ｵｵｻｶﾉ ｵ
カ,ｶﾜｾﾉ ｶ
ガ,ｶﾞｯｺｰﾉ ｶﾞ
キ,ｷｯﾃﾉ ｷ
ギ,ギターﾉ ｷﾞ
ク,ｸﾗﾌﾞﾉ ｸ
グ,ｸﾞﾝｼﾞｮｳﾉ ｸﾞ
ケ,ｹｼｷﾉ ｹ
ゲ,ｹﾞﾝｷﾉ ｹﾞ
コ,ｺﾄﾞﾓﾉ ｺ
ゴ,ｺﾞﾏﾉ ｺﾞ
サ,ｻｸﾗﾉ ｻ
ザ,ｻﾞｯｼﾉ ｻﾞ
シ,ｼﾝﾌﾞﾝﾉ ｼ
ジ,ｼﾞｶﾝﾉ ｼﾞ
ス,ｽｽﾞﾒﾉ ｽ
ズ,ｽﾞｺｰﾉ ｽﾞ
セ,ｾｶｲﾉ ｾ
ゼ,ｾﾞﾝｱｸﾉ ｾﾞ
ソ,ｿﾛﾊﾞﾝﾉ ｿ
ゾ,ｿﾞｸｺﾞﾉ ｿﾞ
タ,ﾀﾊﾞｺﾉ ﾀ
ダ,ﾀﾞﾙﾏﾉ ﾀﾞ
チ,ﾁﾄﾞﾘﾉ ﾁ
ヂ,ﾁﾄﾞﾘﾉ ﾁﾆ ﾀﾞｸﾃﾝ
ッ,ﾁｲｻｲ ﾂ
ツ,ﾂﾙｶﾒﾉ ﾂ
ヅ,ﾂﾙｶﾒの ﾂﾆ ﾀﾞｸﾃﾝ
テ,ﾃｶﾞﾐﾉ ﾃ
デ,ﾃﾞﾝﾜﾉ ﾃﾞ
ト,ﾄーｷｮーﾉ ﾄ
ド,ﾄﾞﾚﾐﾉ ﾄﾞ
ナ,ﾅｺﾞﾔﾉ ﾅ
ニ,ﾆﾎﾝﾉ ﾆ
ヌ,ﾇﾏﾂﾞﾉ ﾇ
ネ,ﾈｽﾞﾐﾉ ﾈ
ノ,ﾉﾊﾗﾉ ﾉ
ハ,ﾊｶﾞｷﾉ ﾊ
バ,ﾊﾞﾚｰﾉ ﾊﾞ
パ,ﾊﾟｿｺﾝﾉ ﾊﾟ
ヒ,ﾋｺｳｷﾉ ﾋ
ビ,ﾋﾞｰｽﾞﾉ ﾋﾞ
ピ,ﾋﾟｱﾉﾉ ﾋﾟ
フ,ﾌｼﾞｻﾝﾉ ﾌ
ブ,ﾌﾞﾗｼﾞﾙﾉ ﾌﾞ
プ,ﾌﾟｰﾙﾉ ﾌﾟ
ヘ,ﾍｲﾜﾉ ﾍ
ベ,ﾍﾞﾝﾁﾉ ﾍﾞ
ペ,ﾍﾟｯﾄﾉ ﾍﾟ
ホ,ﾎｹﾝﾉ ﾎ
ボ,ﾎﾞﾀﾝﾉ ﾎﾞ
ポ,ﾎﾟｽﾄﾉ ﾎﾟ
マ,ﾏｯﾁﾉ ﾏ
ミ,ﾐｶﾝﾉ ﾐ
ム,ﾑｾﾝﾉ ﾑ
メ,ﾒｲｼﾞﾉ ﾒ
モ,ﾓﾐｼﾞﾉ ﾓ
ャ,ﾁｲｻｲ ﾔ
ヤ,ﾔﾏﾄﾉ ﾔ
ュ,ﾁｲｻｲ ﾕ
ユ,ﾕﾐﾔﾉ ﾕ
ョ,ﾁｲｻｲ ﾖ
ヨ,ﾖｼﾉﾉ ﾖ
ラ,ﾗｼﾞｵﾉ ﾗ
リ,ﾘﾝｺﾞﾉ ﾘ
ル,ﾙｽｲﾉ ﾙ
レ,ﾚﾝｹﾞﾉ ﾚ
ロ,ﾛｰﾏﾉ ﾛ
ヮ,ﾁｲｻｲ ﾜ
ワ,ﾜﾗﾋﾞﾉ ﾜ
ヰ,ｲﾄﾞﾉ ｲ
ヱ,ｶｷﾞﾉｱﾙ ｴ
ヲ,ｵﾜﾘﾉ ｦ
ン,ｵｼﾏｲﾉ ﾝ
ヴ,ｳｴﾉﾉ ｳﾆ ﾀﾞｸﾃﾝ
ヵ,ﾁｲｻｲ ｶ
ヶ,ﾁｲｻｲ ｹ
